ID,ENERGY,COST,tout-droit,devant-droite,droite,derriere-droite,derriere,derriere-gauche,gauche,devant-gauche
NewCHILD,,,927,89,240,397,533,486,291,1000,
NewCHILD,,,935,826,372,1000,686,779,398,272,
NewCHILD,,,1000,84,172,299,498,454,591,934,
NewCHILD,,,935,826,372,1000,686,779,398,658,
NewCHILD,,,927,89,232,320,533,486,291,1000,
NewCHILD,,,682,585,1001,462,532,517,640,576,
NewCHILD,,,1000,373,397,677,734,833,646,290,
NewCHILD,,,969,458,521,1000,755,735,830,455,
NewCHILD,,,698,59,121,209,348,317,190,1000,
NewCHILD,,,1000,147,314,521,839,472,279,879,
NewCHILD,,,891,147,313,520,838,938,160,1000,
NewCHILD,,,702,388,429,475,711,1000,515,290,
NewCHILD,,,1000,411,904,504,580,563,698,628,
NewCHILD,,,1000,147,345,521,839,472,160,879,
NewCHILD,,,1000,118,251,416,669,377,223,701,
NewCHILD,,,698,59,121,209,348,403,190,1000,
NewCHILD,,,891,147,313,520,838,513,160,1000,
NewCHILD,,,702,559,429,475,547,1000,515,290,
NewCHILD,,,822,454,1000,943,641,623,772,695,
NewCHILD,,,1000,125,265,440,709,794,136,847,
NewCHILD,,,1000,84,172,299,498,454,685,934,
NewCHILD,,,1000,369,408,452,520,951,490,276,
NewCHILD,,,891,147,313,520,852,513,160,1000,
NewCHILD,,,1000,540,408,452,520,951,490,276,
NewCHILD,,,1000,369,408,452,860,951,490,276,
NewCHILD,,,1000,411,904,504,671,563,698,628,
NewCHILD,,,1000,411,904,504,671,563,711,628,
NewCHILD,,,1000,679,904,504,671,563,698,628,
NewCHILD,,,1000,411,904,504,671,563,761,628,
NewCHILD,,,926,381,838,467,622,522,1000,582,
